"Cargo type"," (Weight)"
"26020000","177843000"
"26020010",
"260600",
"26060000",
"2609",
"2611",
"261510",
"261590",
"261710",
"2618",
"261800","70704"
"26180000","4000800"
"2620",
"262011","72218"
"262019","21745"
"262040",
"262099",
"26209995",
"2621",
"262190",
"26219000","7616900"
"270011290",
"270030",
"2701","34784"
"270111",
"27011100","17659150"
"27011210",
"27011290",
"2701129000",
"27011900",
"27011920","11063818"
"2701999",
"2702","3000"
"270210",
"270220","27580"
"2703","124599892.27"
"27030",
"270300","103940555.52"
"27030000","65091702"
"270300000",
"2703000010",
"27030090","18000"
"270301",
"270330",
"2703333",
"2704",
"27040010",
"270500",
"27050000",
"2706",
"270600",
"27060000","7909221"
"2707","23808678"
"270700",
"270710","185020"
"27071000","16806023"
"2707109000",
"270720",
"270730",
"270740","66000"
"270750","8622777"
"27075000","65308573"
"27075010",
"270799",
"27079911",
"2707991900",
"27079991",
"27079999",
"2707999900",
"27080000",
"2709","25100"
"270900",
"27090010",
"27090090",
"2710","54639397.635"
"271000",
"27101",
"271011",
"271012","10104405.09"
"27101211","36301331"
"27101212",
"27101225","43440259"
"27101231","36086"
"27101241","183439423"
"27101245","16688002"
"2710124790",
"27101290","9094831"
"271017",
"2710184790",
"271019","519776188.3"
"27101905",
"2710191",
"27101910",
"27101911","28142931.242"
"27101921",
"27101925",
"27101929",
"27101931",
"27101940",
"27101943","538240037.096"
"2710194300","22997486"
"27101946",
"2710194600",
"27101947","31588"
"2710194790","904353"
"27101948",
"2710194890",
"2710194970",
"27101951",
"27101960","2102345"
"27101962",
"27101964",
"27101966",
"27101967",
"2710196700",
"27101968","1711650"
"2710196800",
"27101971",
"27101973",
"2710197800",
"27101980",
"27101981","242182.181"
"27101983",
"27101987","42818.75"
"27101990",
"27101991",
"27101993","90912"
"2710199800",
"27101999","5062503"
"2710199900",
"271020",
"271039",
"271050",
"271099","1558487"
"2710999",
"27109990",
"2711",
"271112",
"27111211",
"27111291",
"27111294",
"271113","9015.06"
"2711139700","223090"
"271114",
"27111400",
"271119",
"2712",
"271210","15200"
"271220",
"271290",
"27129090",
"2713","198543995.48"
"27131100",
"271312",
"27131200","1999800"
"271320","98480"
"27132000","2000200"
"271390",
"27139010",
"27139090",
"2714",
"2714000000",
"27141000",
"271490",
"27149000","2094700"
"2715",
"271500",
"27150000",
"272900",
"27290000",
"27300",
"273000","51485"
"274040010",
"27460000",
"27640",
"27700",
"27710",
"2771019",
"280000",
"280110",
"2803","2101022"
"280300","48336"
"2804","1101315.25"
"280400",
"28042100",
"280429","65422.3"
"280430",
"28043000",
"280469",
"280470","620610"
"280511",
"280512","21880"
"280519","4192.144"
